date,price
2020-04-04 00:00:00,6811.8
2020-04-05 00:00:00,6742.0
2020-04-06 00:00:00,6880.6
2020-04-07 00:00:00,6780.8
2020-04-08 00:00:00,7340.2
2020-04-09 00:00:00,7201.8
2020-04-10 00:00:00,7367.1
2020-04-11 00:00:00,7293.7
2020-04-12 00:00:00,6874.3
2020-04-13 00:00:00,6884.5
2020-04-14 00:00:00,6916.6
2020-04-15 00:00:00,6847.30541983
2020-04-16 00:00:00,6872.9
2020-04-17 00:00:00,6633.7227701
2020-04-18 00:00:00,7114.7
2020-04-19 00:00:00,7045.805499300001
2020-04-20 00:00:00,7269.0
2020-04-21 00:00:00,7133.3
2020-04-22 00:00:00,6837.1
2020-04-23 00:00:00,6849.9405434
2020-04-24 00:00:00,7133.0
2020-04-25 00:00:00,7499.0
2020-04-26 00:00:00,7508.4
2020-04-27 00:00:00,7538.6
2020-04-28 00:00:00,7697.9
2020-04-29 00:00:00,7777.7
2020-04-30 00:00:00,7750.6
2020-05-01 00:00:00,8782.1
2020-05-02 00:00:00,8630.7
2020-05-03 00:00:00,8823.0
2020-05-04 00:00:00,8982.4
2020-05-05 00:00:00,8901.34819902
2020-05-06 00:00:00,8867.5
2020-05-07 00:00:00,9020.1
2020-05-08 00:00:00,9150.5
2020-05-09 00:00:00,9979.6
2020-05-10 00:00:00,9792.3
2020-05-11 00:00:00,9537.7
2020-05-12 00:00:00,8721.2
2020-05-13 00:00:00,8555.0507848
2020-05-14 00:00:00,8811.3
2020-05-15 00:00:00,9311.967387
2020-05-16 00:00:00,9791.0
2020-05-17 00:00:00,9307.6
2020-05-18 00:00:00,9386.0
2020-05-19 00:00:00,9668.2
2020-05-20 00:00:00,9714.9
2020-05-21 00:00:00,9770.1
2020-05-22 00:00:00,9502.0
2020-05-23 00:00:00,9059.2
2020-05-24 00:00:00,9162.3448589
2020-05-25 00:00:00,9176.4
2020-05-26 00:00:00,8710.1
2020-05-27 00:00:00,8901.1
2020-05-28 00:00:00,8845.5
2020-05-29 00:00:00,9210.3
2020-05-30 00:00:00,9587.5
2020-05-31 00:00:00,9425.1
2020-06-01 00:00:00,9707.1
2020-06-02 00:00:00,9451.1
2020-06-03 00:00:00,10225.97600025
2020-06-04 00:00:00,9526.9
2020-06-05 00:00:00,9677.6
2020-06-06 00:00:00,9790.700076
2020-06-07 00:00:00,9620.4
2020-06-08 00:00:00,9668.5
2020-06-09 00:00:00,9749.9
2020-06-10 00:00:00,9784.5
2020-06-11 00:00:00,9774.0
2020-06-12 00:00:00,9898.9
2020-06-13 00:00:00,9277.9
2020-06-14 00:00:00,9468.0
2020-06-15 00:00:00,9480.8
2020-06-16 00:00:00,9343.1
2020-06-17 00:00:00,9434.9
2020-06-18 00:00:00,9534.5
2020-06-19 00:00:00,9473.4
2020-06-20 00:00:00,9400.04258188
2020-06-21 00:00:00,9313.02085193
2020-06-22 00:00:00,9374.2
2020-06-23 00:00:00,9299.5
2020-06-24 00:00:00,9697.72816498
2020-06-25 00:00:00,9635.2
2020-06-26 00:00:00,9305.2
2020-06-27 00:00:00,9257.03466936
2020-06-28 00:00:00,9173.2
2020-06-29 00:00:00,9014.8
2020-06-30 00:00:00,9125.366022
2020-07-01 00:00:00,9194.43385096
2020-07-02 00:00:00,9150.6467222
2020-07-03 00:00:00,9239.4
2020-07-04 00:00:00,9100.1
2020-07-05 00:00:00,9073.2
2020-07-06 00:00:00,9146.79675146
2020-07-07 00:00:00,9089.0
2020-07-08 00:00:00,9361.12445025
2020-07-09 00:00:00,9267.57549347
2020-07-10 00:00:00,9447.1
2020-07-11 00:00:00,9248.9
2020-07-12 00:00:00,9304.9
2020-07-13 00:00:00,9245.5
2020-07-14 00:00:00,9320.2
2020-07-15 00:00:00,9251.6
2020-07-16 00:00:00,9263.7914
2020-07-17 00:00:00,9210.1
2020-07-18 00:00:00,9149.6
2020-07-19 00:00:00,9167.32861157
2020-07-20 00:00:00,9189.1
2020-07-21 00:00:00,9231.2
2020-07-22 00:00:00,9179.2
2020-07-23 00:00:00,9402.1
2020-07-24 00:00:00,9557.7
2020-07-25 00:00:00,9615.0
2020-07-26 00:00:00,9559.00520597
2020-07-27 00:00:00,9714.9
2020-07-28 00:00:00,9948.4
2020-07-29 00:00:00,11044.32215834
2020-07-30 00:00:00,10931.55841463
2020-07-31 00:00:00,11117.39512086
2020-08-01 00:00:00,11122.78517118
2020-08-02 00:00:00,11350.0
2020-08-03 00:00:00,11805.0
2020-08-04 00:00:00,11058.83877657
2020-08-05 00:00:00,11226.99217374
2020-08-06 00:00:00,11187.0
2020-08-07 00:00:00,11735.93261188
2020-08-08 00:00:00,11759.0
2020-08-09 00:00:00,11580.04081238
2020-08-10 00:00:00,11763.0
2020-08-11 00:00:00,11675.32006989
2020-08-12 00:00:00,11893.0
2020-08-13 00:00:00,11379.0
2020-08-14 00:00:00,11583.0
2020-08-15 00:00:00,11793.16904862
2020-08-16 00:00:00,11762.0
2020-08-17 00:00:00,11873.41825354
2020-08-18 00:00:00,11924.02573127
2020-08-19 00:00:00,12303.0
2020-08-20 00:00:00,11961.83967646
2020-08-21 00:00:00,11778.02622206
2020-08-22 00:00:00,11884.677714
2020-08-23 00:00:00,11527.0
2020-08-24 00:00:00,11683.0
2020-08-25 00:00:00,11663.0
2020-08-26 00:00:00,11765.0
2020-08-27 00:00:00,11341.0
2020-08-28 00:00:00,11472.0
2020-08-29 00:00:00,11343.0
2020-08-30 00:00:00,11544.621284
2020-08-31 00:00:00,11492.0
2020-09-01 00:00:00,11729.89978204
2020-09-02 00:00:00,11671.23323392
2020-09-03 00:00:00,11942.89423579
2020-09-04 00:00:00,11400.841462
2020-09-05 00:00:00,10166.13513
2020-09-06 00:00:00,10484.07051575
2020-09-07 00:00:00,10197.0
2020-09-08 00:00:00,10275.9676
2020-09-09 00:00:00,10400.0
2020-09-10 00:00:00,10150.0
2020-09-11 00:00:00,10241.0
2020-09-12 00:00:00,10354.0
2020-09-13 00:00:00,10404.94752176
2020-09-14 00:00:00,10459.0
2020-09-15 00:00:00,10331.0
2020-09-16 00:00:00,10689.93207785
2020-09-17 00:00:00,10797.99361605
